scenario_id,N_hist,N_current,treatment_effect,method,model,bias,MSE,reject,mc_se_reject,emp_var,mc_sd,n_sims
1,200,200,0,RBest,FULL_BORROWING,-0.0033812073071684246,0.011902284794045483,0.03999999999999997,0.01959591794226542,0.012010961849688319,0.10959453384949597,100
1,200,200,0,RBest,NO_BORROWING,0.009653315504225303,0.014695627806560958,0.019999999999999993,0.013999999999999997,0.014749940713471552,0.12144933393589094,100
1,200,200,0,RBest,SAM_PRIOR,0.005099753109441272,0.012242682007009389,0.029999999999999978,0.017058722109231973,0.012340075278012253,0.11108589144446855,100
1,200,200,0,gibbs,Bayesian_PROCOVA,-0.001220345282410668,0.012147950858694379,0.029999999999999978,0.017058722109231973,0.012269153147561699,0.1107662094122648,100
1,200,200,0,glm,ANCOVA,0.012873492886887642,0.01366005397372447,0.019999999999999993,0.013999999999999997,0.013630633489510833,0.11675030402320515,100
1,200,200,0,glm,ANOVA,0.009718883248831156,0.015017619790069369,0.019999999999999993,0.013999999999999997,0.01507390211966157,0.12277582058231812,100
1,200,200,0,glm,PROCOVA - superlearner,0.009592651403608925,0.014002396095397602,0.029999999999999978,0.017058722109231973,0.014050885994390349,0.11853643319414647,100
1,200,200,0,glmnet,A_LASSO,0.006055323828524864,0.012554560064422291,0.029999999999999978,0.017058722109231973,0.012644336482579791,0.11244703856740644,100
1,200,200,0,glmnet,A_LASSO_ADJ,0.010978042814287738,0.012070315641909734,0.02999999999999999,0.017058722109231976,0.012070503250381214,0.1098658420546678,100
1,200,200,0,psborrow2,COMM_DB,0.007757631871872164,0.013905263943081033,0.029999999999999978,0.017058722109231973,0.01398493241497125,0.11825790635289993,100
1,200,200,0,psborrow2,POOLING,-0.003942454356801259,0.012386424604383457,0.03999999999999997,0.01959591794226542,0.01249584005861414,0.11178479350347319,100
1,200,200,0,stan,ANCOVA,0.01337418857658887,0.013745305750971989,0.019999999999999993,0.013999999999999997,0.013703471546353362,0.11706182787891774,100
1,200,200,0,stan,ANOVA,0.009293561618852197,0.015074053260748751,0.019999999999999993,0.013999999999999997,0.01513907371028823,0.12304094322739983,100
1,200,200,0,stan,PROCOVA - oracle,0.016515497566861517,0.013834362742483931,0.019999999999999993,0.013999999999999997,0.013698586952124165,0.11704096271017325,100
1,200,200,0,stan,PROCOVA - superlearner,0.008779445699403842,0.013875163336779697,0.019999999999999993,0.013999999999999997,0.013937459262617087,0.11805701699863963,100
2,200,200,0.35,RBest,FULL_BORROWING,0.0015280154754773317,0.011346468603954999,0.8600000000000001,0.034698703145794936,0.011458720982486561,0.10704541551363403,100
2,200,200,0.35,RBest,NO_BORROWING,-0.007894672057039746,0.020196673152908056,0.7,0.045825756949558406,0.0203377245515352,0.14261039426190225,100
2,200,200,0.35,RBest,SAM_PRIOR,-0.0013157238519973318,0.016062540522020764,0.8,0.04,0.01622303979067278,0.1273696973014884,100
2,200,200,0.35,gibbs,Bayesian_PROCOVA,0.003734023008872561,0.01130402173401025,0.8282828282828283,0.03790343720649804,0.011405283691956801,0.10679552280857471,99
2,200,200,0.35,glm,ANCOVA,5.718642579953032e-4,0.017889297494409984,0.71,0.04537620521815371,0.018069667137050917,0.13442346200366556,100
2,200,200,0.35,glm,ANOVA,-0.0042822056550512085,0.02050566804830581,0.7,0.045825756949558406,0.020694273498013796,0.14385504335272295,100
2,200,200,0.35,glm,PROCOVA - superlearner,-0.0024446211615001224,0.019209198720289637,0.7200000000000001,0.04489988864128729,0.0193971944925923,0.13927381122304472,100
2,200,200,0.35,glmnet,A_LASSO,-1.479262435115758e-4,0.016978274418464216,0.7799999999999999,0.041424630354415966,0.01714975003665726,0.13095705416913309,100
2,200,200,0.35,glmnet,A_LASSO_ADJ,0.005033284536177331,0.013374072150204083,0.79,0.0407308237088326,0.01348357393634541,0.11611879234794603,100
2,200,200,0.35,psborrow2,COMM_DB,-0.00277225483192879,0.018256995821976863,0.7200000000000001,0.04489988864128729,0.018433646894064352,0.13577056711255334,100
2,200,200,0.35,psborrow2,POOLING,0.00523051054995289,0.011650054314286933,0.85,0.035707142142714254,0.01174009704411491,0.10835172838545266,100
2,200,200,0.35,stan,ANCOVA,0.0020102446179679095,0.01783175943491116,0.7272727272727272,0.044760542174302816,0.01800963384486961,0.13419997706732148,99
2,200,200,0.35,stan,ANOVA,-0.002541664147359731,0.02061892093603233,0.6969696969696969,0.046188342846498774,0.020822792112857563,0.14430104681830122,99
2,200,200,0.35,stan,PROCOVA - oracle,-0.00737216729346989,0.016635127451029828,0.71,0.04537620521815371,0.01674826121255244,0.1294150733591433,100
2,200,200,0.35,stan,PROCOVA - superlearner,-0.0011585606729382527,0.019162211326943516,0.7171717171717171,0.04526425722831635,0.0193563881361934,0.13912723721900538,99
3,200,500,0,RBest,FULL_BORROWING,0.003806064544061453,0.004792487127350806,0.02999999999999998,0.017058722109231976,0.004826263636401254,0.06947131520563904,100
3,200,500,0,RBest,NO_BORROWING,0.001560837036787184,0.006918957715017433,0.029999999999999985,0.017058722109231976,0.0069863853563252795,0.08358459999500674,100
3,200,500,0,RBest,SAM_PRIOR,0.005362168713171559,0.005674237685035633,0.019999999999999987,0.013999999999999995,0.0057025099310374925,0.07551496494760156,100
3,200,500,0,glm,ANCOVA,0.005481639485349766,0.00592792842470621,0.029999999999999985,0.017058722109231976,0.005957454599251375,0.07718454896707874,100
3,200,500,0,glm,ANOVA,0.001648795061318577,0.0069813307805496275,0.029999999999999985,0.017058722109231976,0.007049103288278179,0.08395893810832876,100
3,200,500,0,glm,PROCOVA - superlearner,0.005158676583993095,0.006338512316885572,0.029999999999999985,0.017058722109231976,0.006375656942209429,0.07984771093907093,100
3,200,500,0,glmnet,A_LASSO,0.0057182922766698605,0.005726062482224836,0.019999999999999987,0.013999999999999995,0.005750872339053952,0.07583450625575373,100
3,200,500,0,glmnet,A_LASSO_ADJ,0.008871693516866569,0.004992265486926038,0.019999999999999993,0.013999999999999997,0.004963190445524065,0.07044991444653474,100
3,200,500,0,psborrow2,COMM_DB,0.0019317193419427286,0.006605229529392285,0.019999999999999987,0.013999999999999995,0.006668179787652775,0.08165892350290184,100
3,200,500,0,psborrow2,POOLING,0.003943298261978766,0.004825730255210692,0.01999999999999999,0.013999999999999995,0.004858768337401786,0.06970486595211116,100
3,200,500,0,stan,ANCOVA,0.004911119797509003,0.005922609453582239,0.029999999999999985,0.017058722109231976,0.005958071066582578,0.07718854232710044,100
3,200,500,0,stan,ANOVA,0.0011664538364724742,0.007070208061875522,0.03999999999999998,0.01959591794226542,0.007140249946790809,0.08449999968515272,100
3,200,500,0,stan,PROCOVA - oracle,0.0059495700005071095,0.0056464972890695264,0.019999999999999993,0.013999999999999997,0.0056677776827056495,0.07528464440180115,100
3,200,500,0,stan,PROCOVA - superlearner,0.004873356935524093,0.0063232368575251025,0.019999999999999987,0.013999999999999995,0.006363118434044529,0.07976915716017394,100
4,200,500,0.35,RBest,FULL_BORROWING,0.0017896502999250787,0.0064731351487428024,1,0,0.006535285152067456,0.08084111053212627,100
4,200,500,0.35,RBest,NO_BORROWING,-7.205038109197923e-4,0.007426709658168868,0.96,0.019595917942265433,0.007501202558007394,0.08660948307204815,100
4,200,500,0.35,RBest,SAM_PRIOR,1.3417671107415064e-4,0.0068489614921785034,0.99,0.009949874371066205,0.006918124736150211,0.08317526517030295,100
4,200,500,0.35,glm,ANCOVA,0.005313586577283139,0.007259781001933713,0.99,0.009949874371066205,0.0073045927268883095,0.085466910128355,100
4,200,500,0.35,glm,ANOVA,7.181939614751107e-4,0.007499008175538253,0.96,0.019595917942265433,0.0075742347201736915,0.08703007939887043,100
4,200,500,0.35,glm,PROCOVA - superlearner,0.0024872435158351906,0.006689460387572897,1,0,0.006750781825521043,0.08216314152660573,100
4,200,500,0.35,glmnet,A_LASSO,9.899654588704694e-4,0.0066453641445711155,0.98,0.014000000000000005,0.006711499104001373,0.08192373956309229,100
4,200,500,0.35,glmnet,A_LASSO_ADJ,0.005652984587876233,0.00633665897539361,0.99,0.009949874371066205,0.006368386606709943,0.07980217169168984,100
4,200,500,0.35,psborrow2,COMM_DB,9.628821467769865e-4,0.007261970283779536,0.96,0.019595917942265433,0.007334387011869649,0.08564103579400269,100
4,200,500,0.35,psborrow2,POOLING,0.0033939839278726374,0.006461351181295498,1,0,0.00651498187312408,0.08071543763818716,100
4,200,500,0.35,stan,ANCOVA,0.005099735908919725,0.0072482049873390155,0.98,0.014000000000000005,0.007295149172725545,0.08541164541633386,100
4,200,500,0.35,stan,ANOVA,7.85421826518454e-4,0.007558066767295493,0.95,0.021794494717703377,0.007633787757424164,0.08737155004590547,100
4,200,500,0.35,stan,PROCOVA - oracle,9.88485451502603e-4,0.00681996634074495,0.99,0.009949874371066205,0.006887867916421326,0.0829931799392054,100
4,200,500,0.35,stan,PROCOVA - superlearner,0.0025816419023611996,0.006695511188397718,0.99,0.009949874371066205,0.0067564104176623145,0.08219738692721512,100
5,1000,200,0,RBest,FULL_BORROWING,-0.014159065562025012,0.01051110869070465,0.08,0.027129319932501072,0.010414777326378714,0.10205281635691743,100
5,1000,200,0,RBest,NO_BORROWING,-0.03641286480902309,0.01835166125949841,0.06999999999999998,0.025514701644346143,0.01719774195545274,0.1311401614893498,100
5,1000,200,0,RBest,SAM_PRIOR,-0.03349101214967469,0.014993833856355531,0.09999999999999999,0.03,0.014012309052066536,0.11837359947246065,100
5,1000,200,0,gibbs,Bayesian_PROCOVA,-0.026075749212913203,0.012248800753242256,0.04999999999999999,0.021794494717703367,0.0116857131881086,0.1081004772797447,100
5,1000,200,0,glm,ANCOVA,-0.03770931843577451,0.016952284242677713,0.059999999999999984,0.02374868417407583,0.015687163177562698,0.1252484058883094,100
5,1000,200,0,glm,ANOVA,-0.036772707496600686,0.01876880941529876,0.06999999999999998,0.025514701644346143,0.017592502422897182,0.13263673104723736,100
5,1000,200,0,glm,PROCOVA - superlearner,-0.033320646942455935,0.017065562932718742,0.06999999999999998,0.025514701644346143,0.016116462040459537,0.12695062835787593,100
5,1000,200,0,glmnet,A_LASSO,-0.031864785687828766,0.01467509854260556,0.09999999999999999,0.03,0.013797711086539701,0.11746365857804575,100
5,1000,200,0,glmnet,A_LASSO_ADJ,-0.02673841382225791,0.012935260229911557,0.04999999999999999,0.021794494717703367,0.012343755006243686,0.11110245274629937,100
5,1000,200,0,psborrow2,COMM_DB,-0.03426917449752816,0.016815342009215903,0.05999999999999996,0.02374868417407583,0.01579895524088269,0.12569389500243314,100
5,1000,200,0,psborrow2,POOLING,-0.014359685132593485,0.010785297526483923,0.06999999999999997,0.025514701644346143,0.010685956534723939,0.10337290038846708,100
5,1000,200,0,stan,ANCOVA,-0.03746683965646859,0.01698495562485674,0.04999999999999999,0.021794494717703367,0.015738577324255768,0.12545348669628822,100
5,1000,200,0,stan,ANOVA,-0.036683952036407154,0.018764726474448736,0.08,0.027129319932501072,0.017594963775191232,0.13264600926975237,100
5,1000,200,0,stan,PROCOVA - oracle,-0.030796129193938475,0.015867556193188977,0.03999999999999999,0.01959591794226542,0.015069853151372957,0.12275933020089738,100
5,1000,200,0,stan,PROCOVA - superlearner,-0.032508861449791523,0.017254399390909253,0.059999999999999956,0.023748684174075826,0.016361185169845964,0.127910848522891,100
6,1000,200,0.35,RBest,FULL_BORROWING,-0.01588722230235653,0.009179315764814466,0.89,0.031288975694324025,0.009017082759929266,0.09495832117265589,100
6,1000,200,0.35,RBest,NO_BORROWING,-0.011253824148212119,0.018201462091850217,0.63,0.048280430818293245,0.01825738740797104,0.1351199001182692,100
6,1000,200,0.35,RBest,SAM_PRIOR,-0.016511121758704526,0.01235992707371548,0.8200000000000001,0.038418745424597084,0.012209403971701723,0.11049617175134044,100
6,1000,200,0.35,gibbs,Bayesian_PROCOVA,-0.008810132767773333,0.010663995952072111,0.8400000000000001,0.03666060555964671,0.010693310618875074,0.10340846492853026,100
6,1000,200,0.35,glm,ANCOVA,-0.014625104422724555,0.016435637330822296,0.6799999999999999,0.0466476151587624,0.016385599647925957,0.12800624847219746,100
6,1000,200,0.35,glm,ANOVA,-0.008004707844456593,0.01855260657240738,0.6399999999999999,0.048,0.018675284065386148,0.1366575430241088,100
6,1000,200,0.35,glm,PROCOVA - superlearner,-0.008960757380122109,0.01591282319260396,0.72,0.0448998886412873,0.015992452545230854,0.12646126895311013,100
6,1000,200,0.35,glmnet,A_LASSO,-0.013098734832536135,0.01247344668386881,0.8099999999999999,0.03923009049186607,0.012426131141066374,0.11147255779368469,100
6,1000,200,0.35,glmnet,A_LASSO_ADJ,-0.018342175117296484,0.011718865874246429,0.85,0.035707142142714254,0.011497404531528135,0.10722595083060879,100
6,1000,200,0.35,psborrow2,COMM_DB,-0.008583483527759133,0.01646159871884926,0.68,0.0466476151587624,0.016553457100381752,0.1286602390032824,100
6,1000,200,0.35,psborrow2,POOLING,-0.012551940675838157,0.009267987228857064,0.8899999999999999,0.03128897569432404,0.009202460620330609,0.0959294564788658,100
6,1000,200,0.35,stan,ANCOVA,-0.014242458499314681,0.016785366583079702,0.67,0.04702127178203499,0.016750019150479804,0.12942186504018477,100
6,1000,200,0.35,stan,ANOVA,-0.008092994846940881,0.018375086882099274,0.6,0.04898979485566356,0.01849453567323906,0.13599461633917373,100
6,1000,200,0.35,stan,PROCOVA - oracle,-0.008345488954171207,0.016065174236723684,0.77,0.042083250825001625,0.016157098031151004,0.1271105740335988,100
6,1000,200,0.35,stan,PROCOVA - superlearner,-0.009193335912511447,0.01579477809867088,0.77,0.042083250825001625,0.015868950175222836,0.1259720213984948,100
7,1000,500,0,RBest,FULL_BORROWING,-7.092228158587897e-4,0.004560326956430903,0.03999999999999999,0.01959591794226542,0.004605882787301383,0.06786665445785127,100
7,1000,500,0,RBest,NO_BORROWING,-0.010003643654447326,0.006938610787566732,0.029999999999999978,0.017058722109231973,0.006907614041617745,0.08311205713744393,100
7,1000,500,0,RBest,SAM_PRIOR,-0.005251011160306519,0.004738897461799973,0.03999999999999999,0.01959591794226542,0.0047589134783780915,0.06898487862117388,100
7,1000,500,0,gibbs,Bayesian_PROCOVA,-0.008967353422838142,0.0050622118291045685,0.029999999999999978,0.017058722109231973,0.005032119597671192,0.0709374343888415,100
7,1000,500,0,glm,ANCOVA,-0.008429772079510855,0.006423409225600146,0.01999999999999999,0.013999999999999995,0.00641651330130065,0.08010314164438652,100
7,1000,500,0,glm,ANOVA,-0.009970594849103454,0.0069872491522748595,0.029999999999999978,0.017058722109231973,0.00695741049558575,0.08341109336045026,100
7,1000,500,0,glm,PROCOVA - superlearner,-0.010207579791259823,0.006349742663369901,0.029999999999999978,0.017058722109231973,0.006308634321388856,0.07942691182079822,100
7,1000,500,0,glmnet,A_LASSO,-0.005349598492954627,0.004595684618581441,0.03999999999999999,0.01959591794226542,0.004613198398530928,0.06792053002245291,100
7,1000,500,0,glmnet,A_LASSO_ADJ,-0.0033874390613739215,0.003970056146648971,0.02999999999999998,0.017058722109231976,0.003998567073994394,0.06323422391390911,100
7,1000,500,0,psborrow2,COMM_DB,-0.009362207355228065,0.006638377937930692,0.029999999999999978,0.017058722109231973,0.0066168959710791965,0.08134430509309915,100
7,1000,500,0,psborrow2,POOLING,-6.647583682719112e-4,0.004582388456872466,0.03999999999999999,0.01959591794226542,0.004628228841600282,0.06803108731749245,100
7,1000,500,0,stan,ANCOVA,-0.00809558697039873,0.006444740389488473,0.01999999999999999,0.013999999999999995,0.0064436382435284646,0.08027227568425144,100
7,1000,500,0,stan,ANOVA,-0.009871298136690658,0.007043769425554123,0.029999999999999978,0.017058722109231973,0.007016491816818874,0.08376450212840088,100
7,1000,500,0,stan,PROCOVA - oracle,-0.012238525093671218,0.0063211877208274045,0.03999999999999998,0.01959591794226542,0.006233743660968668,0.07895406044636759,100
7,1000,500,0,stan,PROCOVA - superlearner,-0.01069191184555933,0.006400637155388744,0.029999999999999978,0.017058722109231973,0.006349818360076298,0.07968574753415003,100
8,1000,500,0.35,RBest,FULL_BORROWING,0.002578437541643221,0.004906250954269404,1,0,0.0049490935496093414,0.07034979423999292,100
8,1000,500,0.35,RBest,NO_BORROWING,-0.00835699313754507,0.008143038939036819,0.98,0.014000000000000005,0.008154747075490753,0.09030363821846135,100
8,1000,500,0.35,RBest,SAM_PRIOR,1.1735357108568761e-4,0.005180451135096146,1,0,0.0052327650133691915,0.07233785325380614,100
8,1000,500,0.35,gibbs,Bayesian_PROCOVA,-6.955873521446136e-4,0.006426168821381459,0.99,0.009949874371066205,0.006490590888502015,0.08056420351807628,100
8,1000,500,0.35,glm,ANCOVA,-0.0052835963094267965,0.0074753154564379245,0.98,0.014000000000000005,0.0075226253196736745,0.08673306935462202,100
8,1000,500,0.35,glm,ANOVA,-0.006968992134934844,0.008194819990122513,0.98,0.014000000000000005,0.008228538523985585,0.09071129215255168,100
8,1000,500,0.35,glm,PROCOVA - superlearner,-0.006440406645060428,0.007388081617878824,0.98,0.014000000000000005,0.007420810889015238,0.08614412858120533,100
8,1000,500,0.35,glmnet,A_LASSO,0.0011123656488451687,0.005295691698535791,1,0,0.0053479336779788484,0.07312956774095447,100
8,1000,500,0.35,glmnet,A_LASSO_ADJ,0.0022842349629330454,0.0045733525788135216,1,0,0.004614277625704684,0.06792847433664828,100
8,1000,500,0.35,psborrow2,COMM_DB,-0.006286354337204793,0.007812855385411868,0.99,0.009949874371066205,0.007851855691473716,0.08861069738735677,100
8,1000,500,0.35,psborrow2,POOLING,0.004102033680600043,0.004967617363755225,1,0,0.005000798670139846,0.07071632534386842,100
8,1000,500,0.35,stan,ANCOVA,-0.005515118550598862,0.007446580035889433,0.98,0.014000000000000005,0.007491074245719463,0.08655099217062427,100
8,1000,500,0.35,stan,ANOVA,-0.007181576402896268,0.008166665479890003,0.97,0.017058722109231986,0.008197061050767038,0.0905376222946408,100
8,1000,500,0.35,stan,PROCOVA - oracle,-0.006939957069339088,0.00682077079170887,0.99,0.009949874371066205,0.006841017967257174,0.08271044654248443,100
8,1000,500,0.35,stan,PROCOVA - superlearner,-0.006510101082249292,0.007367098426826003,0.98,0.014000000000000005,0.007398704051237271,0.08601571979142691,100
